# Author: LRP
# Date: 15-06-2015
# Description:
# Spectrum of NGC6822-RSG01 taken from a grid of synthetic spectra
# At model resolution and sampling
# 1: Wavelength
# 2: Norm. Flux
1.183295 1.006343
1.183325 1.006564
1.183355 1.006341
1.183384 1.005469
1.183414 1.003791
1.183444 1.001891
1.183473 1.000342
1.183503 0.999531
1.183533 0.999978
1.183562 1.001501
1.183592 1.002615
1.183622 1.002748
1.183651 1.002015
1.183681 1.001283
1.183711 1.000551
1.183740 0.999305
1.183770 0.996039
1.183800 0.986702
1.183829 0.971852
1.183859 0.949896
1.183889 0.926032
1.183918 0.914194
1.183948 0.924209
1.183978 0.938727
1.184007 0.956519
1.184037 0.964127
1.184067 0.955823
1.184096 0.934559
1.184126 0.909167
1.184156 0.890780
1.184185 0.898433
1.184215 0.924292
1.184245 0.945171
1.184274 0.961779
1.184304 0.958030
1.184334 0.942879
1.184363 0.924099
1.184393 0.921667
1.184423 0.936651
1.184452 0.954418
1.184482 0.975823
1.184512 0.991765
1.184541 0.999794
1.184571 1.003893
1.184601 1.005244
1.184630 1.004905
1.184660 1.003059
1.184690 0.998900
1.184719 0.994391
1.184749 0.992057
1.184779 0.991951
1.184808 0.993541
1.184838 0.995944
1.184868 0.996774
1.184897 0.995056
1.184927 0.989366
1.184957 0.980657
1.184986 0.972155
1.185016 0.968929
1.185046 0.971650
1.185075 0.977809
1.185105 0.982564
1.185135 0.985701
1.185164 0.988165
1.185194 0.991677
1.185224 0.996910
1.185253 1.002007
1.185283 1.004715
1.185313 1.005366
1.185342 1.003669
1.185372 1.000432
1.185402 0.996765
1.185431 0.994038
1.185461 0.992281
1.185491 0.991543
1.185520 0.989942
1.185550 0.987095
1.185580 0.982084
1.185609 0.972410
1.185639 0.959217
1.185669 0.940864
1.185698 0.923244
1.185728 0.919722
1.185758 0.928552
1.185787 0.953839
1.185817 0.974596
1.185847 0.989674
1.185876 0.996764
1.185906 0.998591
1.185936 0.998097
1.185965 0.996484
1.185995 0.994707
1.186025 0.991374
1.186054 0.981805
1.186084 0.964195
1.186114 0.942237
1.186143 0.920030
1.186173 0.912545
1.186203 0.926840
1.186232 0.954453
1.186262 0.975775
1.186292 0.987028
1.186321 0.988296
1.186351 0.985666
1.186381 0.982847
1.186410 0.982238
1.186440 0.984035
1.186470 0.986241
1.186499 0.988116
1.186529 0.990287
1.186559 0.994559
1.186588 0.998725
1.186618 1.001405
1.186648 1.001796
1.186677 1.000612
1.186707 0.999398
1.186737 0.999131
1.186766 0.999910
1.186796 1.001326
1.186826 1.002685
1.186855 1.003616
1.186885 1.004094
1.186915 1.004378
1.186944 1.004720
1.186974 1.004944
1.187004 1.004363
1.187033 1.001765
1.187063 0.994575
1.187093 0.984390
1.187122 0.972724
1.187152 0.963772
1.187182 0.955254
1.187211 0.942292
1.187241 0.920447
1.187271 0.907810
1.187300 0.906372
1.187330 0.913937
1.187360 0.921615
1.187389 0.923448
1.187419 0.925273
1.187449 0.931976
1.187478 0.940127
1.187508 0.939711
1.187538 0.930482
1.187567 0.924594
1.187597 0.931543
1.187627 0.950184
1.187656 0.969004
1.187686 0.981928
1.187716 0.989380
1.187745 0.994001
1.187775 0.997064
1.187805 0.998923
1.187834 0.999811
1.187864 0.999181
1.187894 0.995585
1.187923 0.988741
1.187953 0.980692
1.187983 0.975896
1.188012 0.975209
1.188042 0.978613
1.188072 0.982414
1.188101 0.977483
1.188131 0.952410
1.188161 0.908540
1.188190 0.821691
1.188220 0.716013
1.188250 0.605578
1.188279 0.535303
1.188309 0.512880
1.188339 0.515060
1.188368 0.522793
1.188398 0.541164
1.188428 0.602625
1.188457 0.710488
1.188487 0.824828
1.188517 0.907444
1.188546 0.968731
1.188576 0.991717
1.188606 0.998289
1.188635 1.000402
1.188665 1.000538
1.188695 1.000640
1.188724 1.000629
1.188754 0.999357
1.188784 0.994665
1.188813 0.982442
1.188843 0.958873
1.188873 0.933135
1.188902 0.919459
1.188932 0.920414
1.188962 0.928226
1.188991 0.931524
1.189021 0.927566
1.189051 0.927992
1.189080 0.941035
1.189110 0.960187
1.189140 0.974389
1.189169 0.971728
1.189199 0.941436
1.189229 0.885312
1.189258 0.824183
1.189288 0.782867
1.189318 0.782611
1.189347 0.816226
1.189377 0.862024
1.189407 0.907626
1.189436 0.941263
1.189466 0.956687
1.189496 0.959285
1.189525 0.962116
1.189555 0.967481
1.189585 0.973188
1.189614 0.981514
1.189644 0.988173
1.189674 0.994575
1.189703 0.998186
1.189733 0.998799
1.189763 0.996741
1.189792 0.994093
1.189822 0.992778
1.189852 0.992760
1.189881 0.993911
1.189911 0.994886
1.189941 0.994972
1.189970 0.994145
1.190000 0.993451
1.190030 0.993495
1.190059 0.994596
1.190089 0.996452
1.190119 0.998501
1.190148 1.000244
1.190178 1.000703
1.190208 0.999018
1.190237 0.995449
1.190267 0.992594
1.190297 0.988465
1.190326 0.980235
1.190356 0.964311
1.190386 0.938200
1.190415 0.914009
1.190445 0.898133
1.190475 0.902642
1.190504 0.926182
1.190534 0.961821
1.190564 0.984898
1.190593 0.997903
1.190623 1.002543
1.190653 1.002367
1.190682 0.996595
1.190712 0.985638
1.190742 0.964392
1.190771 0.938714
1.190801 0.920314
1.190831 0.915969
1.190860 0.930169
1.190890 0.955767
1.190920 0.977111
1.190949 0.993700
1.190979 1.001200
1.191009 1.004163
1.191038 1.004602
1.191068 1.002449
1.191098 0.997291
1.191127 0.988219
1.191157 0.979474
1.191187 0.974783
1.191216 0.976583
1.191246 0.984731
1.191276 0.992903
1.191305 1.000578
1.191335 1.004133
1.191365 1.003145
1.191394 0.997116
1.191424 0.987850
1.191454 0.978143
1.191483 0.973350
1.191513 0.976796
1.191543 0.982701
1.191572 0.988164
1.191602 0.991078
1.191632 0.993294
1.191661 0.996535
1.191691 0.999926
1.191721 1.002950
1.191750 1.004494
1.191780 1.003953
1.191810 1.000744
1.191839 0.996489
1.191869 0.991480
1.191899 0.987384
1.191929 0.985395
1.191958 0.984429
1.191988 0.983391
1.192018 0.980477
1.192047 0.970838
1.192077 0.954469
1.192107 0.934415
1.192136 0.924200
1.192166 0.927017
1.192196 0.944075
1.192225 0.965486
1.192255 0.979336
1.192285 0.987981
1.192314 0.992990
1.192344 0.995432
1.192374 0.995271
1.192403 0.991964
1.192433 0.987575
1.192463 0.984161
1.192492 0.980037
1.192522 0.970984
1.192552 0.952773
1.192581 0.929606
1.192611 0.914752
1.192641 0.918271
1.192670 0.936877
1.192700 0.959873
1.192730 0.977762
1.192759 0.988435
1.192789 0.993915
1.192819 0.996319
1.192848 0.996013
1.192878 0.993336
1.192908 0.989930
1.192937 0.988485
1.192967 0.989675
1.192997 0.992815
1.193026 0.995901
1.193056 0.998321
1.193086 1.000741
1.193115 1.002881
1.193145 1.004572
1.193175 1.005619
1.193204 1.006347
1.193234 1.006398
1.193264 1.005436
1.193293 1.003284
1.193323 1.000201
1.193353 0.998376
1.193382 0.997364
1.193412 0.996734
1.193442 0.995056
1.193471 0.991762
1.193501 0.989025
1.193531 0.988329
1.193560 0.989106
1.193590 0.988138
1.193620 0.979493
1.193649 0.957973
1.193679 0.929181
1.193709 0.908845
1.193738 0.905513
1.193768 0.922911
1.193798 0.946834
1.193827 0.971389
1.193857 0.984647
1.193887 0.995659
1.193916 0.999091
1.193946 0.999274
1.193976 0.997587
1.194005 0.993707
1.194035 0.986385
1.194065 0.971558
1.194094 0.950980
1.194124 0.933237
1.194154 0.926224
1.194183 0.933405
1.194213 0.949986
1.194243 0.964648
1.194272 0.978735
1.194302 0.987623
1.194332 0.993181
1.194361 0.996138
1.194391 0.997779
1.194421 0.998926
1.194450 0.999857
1.194480 1.000214
1.194510 0.999599
1.194539 0.998286
1.194569 0.997290
1.194599 0.996361
1.194628 0.995139
1.194658 0.993538
1.194688 0.992358
1.194717 0.990444
1.194747 0.986790
1.194777 0.978163
1.194806 0.964899
1.194836 0.942919
1.194866 0.896585
1.194895 0.846297
1.194925 0.788973
1.194955 0.758666
1.194984 0.783461
1.195014 0.846827
1.195044 0.913186
1.195073 0.958606
1.195103 0.978001
1.195133 0.985127
1.195162 0.987263
1.195192 0.989185
1.195222 0.992060
1.195251 0.995700
1.195281 0.999339
1.195311 1.000689
1.195340 0.996256
1.195370 0.980999
1.195400 0.957630
1.195429 0.933088
1.195459 0.920484
1.195489 0.917746
1.195518 0.915947
1.195548 0.906598
